Sample	Group	Genome	Experiment	Method	Splice_len	Win	Unique_align	alignment	Batch
DKO-1_S46_L005_R1_001	DKO	mm10	RNA-seq	SE	49	1000	Y	bwa	1
DKO-2_S47_L005_R1_001	DKO	mm10	RNA-seq	SE	49	1000	Y	bwa	2
DKO-3_S48_L005_R1_001	DKO	mm10	RNA-seq	SE	49	1000	Y	bwa	2
Int_KO-1_S43_L005_R1_001	Int_KO	mm10	RNA-seq	SE	49	1000	Y	bwa	1
Int_KO-2_S44_L005_R1_001	Int_KO	mm10	RNA-seq	SE	49	1000	Y	bwa	2
Int_KO-3_S45_L005_R1_001	Int_KO	mm10	RNA-seq	SE	49	1000	Y	bwa	2
PKD1_KO-1_S40_L005_R1_001	PKD1_KO	mm10	RNA-seq	SE	49	1000	Y	bwa	1
PKD1_KO-2_S41_L005_R1_001	PKD1_KO	mm10	RNA-seq	SE	49	1000	Y	bwa	2
PKD1_KO-3_S42_L005_R1_001	PKD1_KO	mm10	RNA-seq	SE	49	1000	Y	bwa	2
WT-1_S37_L005_R1_001	WT	mm10	RNA-seq	SE	49	1000	Y	bwa	1
WT-2_S38_L005_R1_001	WT	mm10	RNA-seq	SE	49	1000	Y	bwa	2
WT-3_S39_L005_R1_001	WT	mm10	RNA-seq	SE	49	1000	Y	bwa	2
